id,year,type,venue,doi,title
101,2020,journal article,Transportation Research Interdisciplinary Perspectives,10.1016/j.trip.2020.100180,Modeling social network influence on hurricane eva
102,2016,journal article,SIAM Journal on Applied Mathematics,10.1137/15M1017016,Invisible Control of Self-Organizing Agents Leavin
103,2020,book chapter,"Crowd Dynamics, Volume 2",10.1007/978-3-030-50450-2_8,Mathematical models and methods for crowd dynamics
104,2021,preprint,arXiv,,Optimized leaders strategies for crowd evacuation
105,2021,journal article,Applied Sciences,10.3390/app11199009,Emergency Planning for UAV-Controlled Crowd Evacua
106,2025,journal article,IEEE Access,10.1109/ACCESS.2024.3420068,Simulation of Crowd Evacuation in Asymmetrical Exi
107,2015,book chapter,Advances in Artificial Transportation Systems and Simulation,,Crowd Simulation Applied to Emergency and Evacuati
108,2021,journal article,Archives of Control Sciences,10.24425/acs.2021.138695,Evacuation by leader-follower model with bounded c
109,2023,journal article,Safety Science,10.1016/j.ssci.2022.105967,Effect of trained evacuation leaders on victims
110,2004,conference paper,Cellular Automata,10.1007/978-3-540-30479-1_62,Modeling the Effect of Leadership on Crowd Flow Dy
113,2016,journal article,Physics of Life Reviews,10.1016/j.plrev.2016.05.014,Human behaviours in evacuation crowd dynamics Fro
114,2014,journal article,Journal of The Royal Society Interface,10.1098/rsif.2013.0904,Human responses to multiple sources of directional
115,2015,journal article,Royal Society Open Science,10.1098/rsos.140410,Information use by humans during dynamic route cho
116,2014,journal article,PLoS Computational Biology,10.1371/journal.pcbi.1003541,Leadership in Moving Human Groups
117,2015,journal article,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2014.2323175,Robot Guided Crowd Evacuation
118,2014,conference paper,Proceedings of the 2012 International Conference on Cybernetics and Informatics,10.1007/978-1-4614-3872-4_305,Crowd Evacuation Simulation in Multi-Agent Based V
119,2016,journal article,Physics Letters A,10.1016/j.physleta.2015.11.028,Modeling pedestrian evacuation with guiders based
120,2021,journal article,Simulation Modelling Practice and Theory,10.1016/j.simpat.2021.102309,Simulation of competitive and cooperative egress m
121,2024,journal article,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3372994,Simulation of Crowd Evacuation in Subway Stations
122,2014,conference paper,2014 IEEE International Conference on Imaging Systems and Techniques (IST) Proceedings,10.1109/IST.2014.6958512,Social mapping on RGB-D scenes
123,2022,journal article,Entropy,10.3390/e24101479,An Entropy-Based Combined Behavior Model for Crowd
124,2021,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2021.125833,An extended model for crowd evacuation considering
125,2023,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2023.128740,An evacuation guidance model for heterogeneous pop
126,2023,conference paper,2023 42nd Chinese Control Conference (CCC),10.23919/CCC58697.2023.10241113,Study on evacuation strategy of multi-exit room
127,2019,conference paper,2019 5th International Conference on Optimization and Applications (ICOA),10.1109/ICOA.2019.8727705,Decision Making in Complex System
128,2020,journal article,Intelligent Decision Technologies,10.3233/IDT-190092,Fuzzy controller and emotional model for evacuatio
129,2019,journal article,Fire Technology,10.1007/s10694-018-0747-6,"Incorporating Individual Behavior, Knowledge, and"
130,2017,conference paper,Proceedings of the 6th International Conference on Computational Methods in Structural Dynamics and Earthquake Engineering (COMPDYN 2015),10.7712/120117.5547.18175,Modeling Airport Evacuation Under Emergency Using
131,2019,journal article,Computer-Aided Civil and Infrastructure Engineering,10.1111/mice.12364,Integrating a Human Behavior Model within an Agent
132,2018,conference paper,2018 IEEE Conference on Decision and Control (CDC),10.1109/cdc.2018.8619480,
134,2020,journal article,Fire Safety Journal,10.1016/j.firesaf.2020.103189,Experimental study of leader-and-follower behaviou
135,2021,journal article,Journal of Safety Science and Resilience,10.1016/j.jnlssr.2021.09.002,Experiment and simulation study of emergency evacu
137,2024,journal article,Applied Mathematics and Computation,10.1016/j.amc.2023.128448,A modified social force model for crowd evacuation
138,2014,journal article,IFAC Proceedings Volumes,10.3182/20140824-6-ZA-1003.01879,Crowd Evacuation Optimization by Leader-follower M
139,2022,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2022.128221,An optimization method for evacuation guidance und
140,2024,conference paper,2024 IEEE 18th International Conference on Control & Automation (ICCA),10.1109/ICCA62789.2024.10591884,An Entropy-Based Path Planning Method for Crowd Ev
141,2009,journal article,Behavior Research Methods,10.3758/BRM.41.3.957,Cooperation versus competition in a mass emergency
142,2018,conference paper,2018 9th International Conference on Information Technology in Medicine and Education (ITME),10.1109/ITME.2018.00226,Study of the Indoor Evacuation Based on the Groupi
143,2023,journal article,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2023.103916,Groups in pedestrian evacuation Survey data on at
144,2017,conference paper,2017 4th International Conference on New Media Studies (CONMEDIA),10.1109/CONMEDIA.2017.8266037,Crowd evacuation using multi-agent system with lea
145,2016,journal article,Safety Science,10.1016/j.ssci.2015.11.015,Leader-follower model for agent based simulation o
146,2010,journal article,Animal Behaviour,10.1016/j.anbehav.2009.12.039,Leadership and social information use in human cro
147,2013,conference paper,Proceedings of the 5th International Conference on Agents and Artificial Intelligence,10.5220/0004197003570364,Group Formation and Knowledge Sharing in Pedestria
148,2021,journal article,Automation in Construction,10.1016/j.autcon.2021.103644,Do people follow neighbors An immersive virtual r
149,2014,conference paper,2014 International Conference on Intelligent Networking and Collaborative Systems,10.1109/INCoS.2014.51,Necessary Condition for Self-Organized Follow-Me E
151,2007,conference paper,19th IEEE International Conference on Tools with Artificial Intelligence(ICTAI 2007),10.1109/ICTAI.2007.67,An Intelligent Cellular Automata Model for Crowd
152,2002,journal article,Prehospital and Disaster Medicine,10.1017/S1049023X0000011X,Interface between Hospital and Fire Authorities
153,2019,journal article,Applied Mathematics and Computation,10.1016/j.amc.2018.11.003,Towards pedestrian room evacuation with a spatial
154,2016,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2016.05.062,A cellular Automata model for evacuation flow usi
155,2024,journal article,"Computers, Materials & Continua",10.32604/cmc.2024.048289,A Game-Theoretic Approach to Safe Crowd Evacuation
156,2012,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2011.12.034,Agent-based modeling of a multi-room multi-floor b
159,2017,journal article,Animal Behaviour,10.1016/j.anbehav.2016.11.024,Following the crowd or avoiding it Empirical inve
160,2019,journal article,Safety Science,10.1016/j.ssci.2018.12.026,Imitative (herd) behaviour in direction decision-m
161,2019,journal article,Transportation Research Part C: Emerging Technologies,10.1016/j.trc.2019.04.029,Dynamics of social groups decision-making in evac
163,2017,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2016.11.014,Modified social force model based on information t
164,2010,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2010.05.045,Microscopic information processing and communicati
165,2014,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2013.12.049,A social force evacuation model with the leadershi
166,2022,journal article,Tunnelling and Underground Space Technology,10.1016/j.tust.2022.104485,Study on an emergency evacuation model considering
167,2023,conference paper,Advances in Social Simulation,10.1007/978-3-031-34920-1_13,Impact of Leader-Follower Behavior
168,2021,journal article,Artificial Life and Robotics,10.1007/s10015-020-00631-5,Evacuation support system to control emotional lev
169,2021,journal article,Computers & Graphics,10.1016/j.cag.2021.08.005,A model for flexible representation of social grou
170,2019,journal article,IOP Conference Series: Materials Science and Engineering,10.1088/1757-899X/700/1/012045,Survival in cold waters - learnings from participa
171,2007,journal article,IJCSES International Journal of Computer Sciences and Engineering Systems,https://www.researchgate.net/publication/266472827_Simulating_Crowd_Evacuation_with_a_Leader-Follower_Model,Simulating crowd evacuation with a leader-follower model
172,2018,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2018.06.055,A cellular automata model for high-density crowd e
173,2016,conference paper,2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS.2016.7759145,Robot-assisted pedestrian regulation in an exit co
174,2019,journal article,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",10.1109/TSMC.2017.2725300,Learning Human Robot Interaction for Robot-Assiste
175,2020,journal article,IEEE Transactions on Emerging Topics in Computational Intelligence,10.1109/TETCI.2019.2930249,Pedestrian Flow Optimization to Reduce the Risk of
176,2021,journal article,Journal of Applied Science and Engineering,10.6180/jase.202108_24(4).0002,Study on a new simulation model of evacuation beha
177,2013,conference paper,2013 Fourth International Conference on Intelligent Control and Information Processing (ICICIP),10.1109/ICICIP.2013.6568099,Multi agent with multi behavior based on particle
178,2016,conference paper,2016 International Symposium on Electronics and Smart Devices (ISESD),10.1109/ISESD.2016.7886709,Crowd navigation using leader-follower algorithm
179,2015,conference paper,ASME International Mechanical Engineering Congress and Exposition (IMECE2015),10.1115/imece2015-52954,Simulation and Experiment of Mass Evacuation to a
180,2019,conference paper,Highlights of Practical Applications of Survivable Agents and Multi-Agent Systems. The PAAMS Collection,10.1007/978-3-030-24299-2_20,A Two-Phase Context-Aware Approach to Emergency Ev
181,2020,journal article,"Chaos, Solitons & Fractals",10.1016/j.chaos.2019.109505,Optimized exit door locations for a safer emergenc
182,2024,book chapter,Mass Gathering Medicine,10.1017/9781009105156.021,Crowd-Related Considerations at Mass Gathering Eve
183,2017,conference paper,2017 Seventh International Conference on Information Science and Technology (ICIST),10.1109/ICIST.2017.7926787,Reinforcement learning approach for adapting compl
184,2016,conference paper,Volume 14: Emerging Technologies; Materials: Genetics to Structures; Safety Engineering and Risk Analysis,10.1115/IMECE2016-66050,Decision-Making and Group Behaviors in a Building
185,2019,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2019.122068,Emergency evacuation with incomplete information i
186,2019,journal article,EPL (Europhysics Letters),10.1209/0295-5075/124/68002,Group structures facilitate emergency evacuation
187,2020,conference paper,Proceedings of the 4th International Conference on Computer Science and Application Engineering,10.1145/3424978.3425134,Research on Efficient Evacuation during Earthquake
188,2020,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2019.123518,Social Relation Network and group behavior based o
189,2021,journal article,Computers & Industrial Engineering,10.1016/j.cie.2021.107621,Deep deterministic policy gradient algorithm for c
190,2021,journal article,Simulation Modelling Practice and Theory,10.1016/j.simpat.2020.102150,Simulation of a pediatric hospital in evacuation c
191,2022,journal article,Building Simulation,10.1007/s12273-021-0799-2,The effect of geometric layout of exit on escape m
192,2023,journal article,Chinese Physics B,10.1088/1674-1056/ac9609,Pedestrian evacuation simulation in multi-exit cas
193,2024,journal article,IEEE Sensors Journal,10.1109/JSEN.2024.3358326,Safety Indication Signs-Based Crowd Division and L
194,2017,journal article,Applied Mathematical Modelling,10.1016/j.apm.2017.03.021,A cellular automata ant memory model of foraging i
195,2018,journal article,Physical Review E,10.1103/PhysRevE.97.062303,Evacuation simulation with consideration of obstac
196,2018,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2018.02.136,A social force model for the crowd evacuation in a
197,2018,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2018.04.032,The effect of dedicated exit on the evacuation of
198,2018,journal article,Applied Soft Computing,10.1016/j.asoc.2018.04.015,A path planning approach for crowd evacuation in b
199,2018,journal article,Simulation Modelling Practice and Theory,10.1016/j.simpat.2018.02.007,A social force evacuation model driven by video da
200,2018,journal article,Mathematical Problems in Engineering,10.1155/2018/5397071,An Evacuation Route Model of Crowd Based on Emotio
201,2018,journal article,Information Sciences,10.1016/j.ins.2018.01.023,Crowd evacuation simulation approach based on navi
202,2019,conference paper,Computer Supported Cooperative Work and Social Computing,10.1007/978-981-13-3044-5_19,A Relationship-Based Pedestrian Social Groups Mode
204,2022,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2021.126426,Modeling the dynamics of pedestrian evacuation in
205,2020,journal article,Scientific Reports,10.1038/s41598-020-75551-2,Nonverbal leadership emergence in walking groups
206,2020,journal article,IEEE Access,10.1109/ACCESS.2020.2983441,Simulation-Based Model of Emergency Evacuation Gui
207,2021,journal article,Safety Science,10.1016/j.ssci.2021.105215,CellEVAC An adaptive guidance system for crowd ev
208,2022,journal article,Transportation Research Part C: Emerging Technologies,10.1016/j.trc.2022.103699,Adaptive cell-based evacuation systems for leader-
209,2017,journal article,Transportation Research Part C: Emerging Technologies,10.1016/j.trc.2016.08.018,A study of pedestrian group behaviors in crowd eva
210,2021,journal article,"Chaos, Solitons & Fractals",10.1016/j.chaos.2021.111513,Multi-agent modeling of crowd dynamics under mass
211,2021,journal article,Knowledge-Based Systems,10.1016/j.knosys.2020.106725,"Swarm intelligence, social force and multi-agent m"
212,2024,journal article,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2023.3325424,Stochastic Optimal Intervention for Robot-Assisted
213,2012,journal article,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2012.2200039,Modeling and Optimization of Building Emergency Ev
214,2018,journal article,IEEE Latin America Transactions,10.1109/TLA.2018.8528222,A Fuzzy Speed Controller for a Guide Robot Using a
215,2016,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2015.12.103,Effective leadership for crowd evacuation
216,2017,journal article,Physics Letters A,10.1016/j.physleta.2017.03.050,Dual effects of guide-based guidance on pedestrian
217,2017,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2017.01.032,Experimental study on small group behavior and cro
218,2020,journal article,Personal and Ubiquitous Computing,10.1007/s00779-019-01256-7,Study on large-scale crowd evacuation method in cu
219,2023,journal article,Modelling and Simulation in Engineering,10.1155/2023/1029883,A Pedestrian Evacuation Model with Leaders during the Smoke
220,2019,journal article,IEEE Access,10.1109/ACCESS.2019.2943603,Modeling Group Structures With Emotion in Crowd Ev
221,2020,journal article,Multimedia Tools and Applications,10.1007/s11042-018-6069-3,Personality trait and group emotion contagion base
222,2024,journal article,International Journal of Industrial Ergonomics,10.1016/j.ergon.2024.103545,Simulated interventions based on virtual reality t
223,2014,conference paper,Pedestrian and Evacuation Dynamics 2012,10.1007/978-3-319-02447-9_15,Crowd Guidance in Building Emergencies Using Virt
224,2020,conference paper,2020 59th IEEE Conference on Decision and Control (CDC),10.1109/CDC42340.2020.9304111,Evolutionary Game Dynamics for Crowd Behavior in E
225,2004,conference paper,"Sensors, and Command, Control, Communications, and Intelligence (C3I) Technologies for Homeland Security and Homeland Defense III",10.1117/12.540028,Crowd dynamics a paradigm for simulating and pred
226,2020,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2020.124376,Cellular Automata model with turning behavior in
229,2018,journal article,Frontiers in Robotics and AI,10.3389/frobt.2018.00082,Virtual Sensing and Virtual Reality How New Techn
230,2018,conference paper,2018 International Seminar on Intelligent Technology and Its Applications (ISITIA),10.1109/ISITIA.2018.8711117,Crowds Evacuation Simulation on Heterogeneous Agen
231,2021,conference paper,2021 IEEE International Conference on Advanced Robotics and Its Social Impacts (ARSO),10.1109/ARSO51874.2021.9542834,Aiding Emergency Evacuations Using Obstacle-Aware
232,2020,conference paper,Social Robotics,10.1007/978-3-030-62056-1_2,Exploring the Effect of Explanations During Robot-
233,2023,conference paper,"2023 IEEE International Symposium on Safety, Security, and Rescue Robotics (SSRR)",10.1109/SSRR59696.2023.10499953,Characterizing Evacuee Behavior During a Robot-Gui
235,2011,conference paper,"2011 IEEE International Symposium on Safety, Security, and Rescue Robotics",10.1109/SSRR.2011.6106753,Evacuation simulation with communication for anti-
